# Constructed from biom file
#OTU ID	SRR11851974	SRR11851975	SRR11851978	SRR11851989	SRR11852000	SRR11852011	SRR11852022	SRR11852033	SRR11852036	SRR11852037	SRR11852038	SRR11852039	SRR11852040	SRR11852041	SRR11852042	SRR11852043	SRR11852044	SRR11852045
f199f4ddb918acb4995ed77f17eabcff	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fec88ee0213bb653d1c6657f6e9fa177	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7f4dd06fb5381578dae5ba2e90f323bd	23.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0
2d806cd0650ba10722686688260e0c83	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
74ce89489c8f397d9fe4ddefa4ae0861	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0
1116ad08a8e9ef89a795e541e7c57b7e	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0
f0f98bb3ac145c4659b2cc35f809557f	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0
5fc7854008a49a6bbd684a51b741379b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	45.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0
146b89fea43e54fdf430888557e9bb4b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0
a887a2b91d8e681428f97ec1537639d1	0.0	14.0	34.0	65.0	35.0	22.0	41.0	19.0	17.0	19.0	0.0	19.0	26.0	34.0	0.0	0.0	0.0	0.0
c52798f4405917c4fdf7d3c180576fad	142.0	85.0	171.0	181.0	256.0	160.0	187.0	86.0	175.0	165.0	91.0	253.0	124.0	172.0	106.0	118.0	38.0	46.0
cab63ae081f9f536bfd8d83ce51b4f67	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
938de94af4ef8c90d39cdcbe06c3d905	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
233be8cf21bd4ada1a091030d696ce60	0.0	0.0	4.0	0.0	2.0	4.0	0.0	0.0	0.0	4.0	0.0	0.0	1.0	1.0	0.0	2.0	0.0	0.0
91534561cac559e532b11e06a8b4488b	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
f580a5f75465e75ba1e4fe93170bba73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0
d31196a8c99902a4b91fa8bbd2a736ba	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
c7cddd94b9d9bf5ba1ea44ec005a21f1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
7fe2461db931c6668c243240d13d4610	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
