# Constructed from biom file
#OTU ID	SRR11852016	SRR11852017	SRR11852018	SRR11852019	SRR11852020	SRR11852021	SRR11852023	SRR11852024	SRR11852025	SRR11852026	SRR11852027	SRR11852028	SRR11852029	SRR11852030	SRR11852032	SRR11852034	SRR11852035
f5ac98c6ceda1c7c98317e179fe78f31	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0	0.0
b5abf14ea95b5d115b05516f8ee1a36a	19.0	30.0	0.0	0.0	0.0	0.0	21.0	15.0	26.0	0.0	27.0	27.0	0.0	21.0	0.0	0.0	0.0
ebe2b872a0677267f362629fc2519ae4	0.0	38.0	0.0	0.0	0.0	0.0	0.0	33.0	0.0	25.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fe4bb6651dff9c58d8dc4becba94345b	0.0	0.0	0.0	0.0	0.0	21.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
670ab9b13837ce2c99e97d85baf35c56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0
a6aefc0b9efeae1137cad005ace38f36	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
a47670e4a769f97f8a019c169b25ec90	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0
ad3892013b7311f9a11824a713433ad1	36.0	0.0	0.0	46.0	31.0	39.0	13.0	14.0	17.0	39.0	12.0	0.0	0.0	31.0	0.0	23.0	0.0
59a41c3e16180b8d451c95932626c209	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
9c2bc403fba33f0ef8144bc606526e2a	32.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
0db0db23c51f8226f6844e2dde6f8087	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
671a255249760e7ac5d65c6a3a30b490	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5d21ba57103a5c89222cd96eb066b84c	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0
65a8f43c60c83c0f62dbfcf7abfa6ba3	13.0	18.0	19.0	9.0	0.0	0.0	0.0	14.0	0.0	0.0	19.0	17.0	0.0	15.0	0.0	0.0	0.0
d7d175adacbc21d36ad17e89d1fb64e1	0.0	0.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	18.0	35.0	21.0	25.0	0.0	0.0
04960e4059ac68339db8f594294b22d8	59.0	77.0	72.0	75.0	57.0	74.0	65.0	67.0	75.0	67.0	47.0	78.0	66.0	61.0	40.0	52.0	31.0
5b51c2ba42a0d6188dba17f27eadc003	19.0	0.0	18.0	0.0	20.0	14.0	12.0	32.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5240639fcc33a0a5e825981f29062a42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0
bbed4c655e56c2c70a39edc0befdaf6d	81.0	113.0	78.0	122.0	76.0	124.0	100.0	91.0	94.0	58.0	67.0	107.0	59.0	61.0	29.0	0.0	0.0
87266bee766628eccdf6c52525662989	30.0	0.0	0.0	37.0	0.0	0.0	0.0	0.0	34.0	26.0	29.0	0.0	0.0	0.0	28.0	0.0	0.0
e90b6f766172e26dfc5905312d82bfd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	80.0	0.0	0.0	0.0	0.0
fbba5a211006c0cbe27db7e32366ac75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.0	0.0	0.0	0.0	0.0
ea44fa31a2f400779d353abb4c1674f2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0
4ec0e80f71309c2c5efa7b80aba9c1de	0.0	10.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
24fe1e780a516e6441991baaa515711e	0.0	0.0	54.0	36.0	0.0	0.0	0.0	0.0	47.0	38.0	0.0	0.0	0.0	38.0	39.0	28.0	0.0
aa6ec0c743b03f040d60f0dcb2570b9b	0.0	0.0	30.0	20.0	0.0	0.0	0.0	0.0	28.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4eb409c36008ecd9f78867c2d197b514	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1af31323d36fc6b1570d3c9a9c567f52	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.0	0.0	0.0	0.0	0.0	0.0	0.0
da712dfe0399dfc149b1de1c04485a35	0.0	0.0	0.0	0.0	0.0	57.0	0.0	0.0	0.0	0.0	43.0	0.0	0.0	0.0	0.0	0.0	0.0
c3db4f3b788aacfc0e619691bc639f35	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0
bcd4cdb8455213c2dad98c840157f888	133.0	121.0	135.0	119.0	136.0	112.0	93.0	117.0	138.0	88.0	110.0	144.0	65.0	130.0	0.0	0.0	0.0
faa3b703fbf4ca0f4f6c226b6dd3ffd1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0
e636f6a84f3e81a2c656d553857ef39d	9.0	22.0	0.0	17.0	16.0	12.0	10.0	0.0	16.0	15.0	12.0	19.0	12.0	16.0	0.0	0.0	11.0
