# Constructed from biom file
#OTU ID	SRR23373543	SRR23373544	SRR23373545	SRR23373546	SRR23373547	SRR23373548	SRR23373555	SRR23373566	SRR23373575	SRR23373576	SRR23373577	SRR23373578
2644179f3ec89dc0db851524b365c63d	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	0.0	0.0
d3e0c0d7c4a3d25557c68943327467ba	0.0	0.0	13.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	18.0	0.0
a079b3c580543b2325fc173d24129ab4	0.0	6.0	0.0	9.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
fb3062507c5f48e3c277f5c60806bddb	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
79029fa983ec4eda60117a273a52cfc0	23.0	0.0	0.0	0.0	43.0	35.0	0.0	23.0	12.0	27.0	0.0	0.0
e7042f5ab73df71ce0746260c0aa4c96	0.0	11.0	9.0	0.0	0.0	0.0	0.0	9.0	21.0	0.0	0.0	0.0
2134d6bc753b919665382b03869f155c	0.0	0.0	0.0	0.0	0.0	10.0	0.0	9.0	0.0	0.0	0.0	14.0
185e0bd5c2da802cb9f121c957ba17d1	0.0	8.0	13.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0
fec0be10fb3cfc16a1a23668bf4305ce	7.0	0.0	0.0	11.0	0.0	5.0	0.0	5.0	7.0	0.0	0.0	10.0
633aa7a4e5429c69739d7a18fe44c7b2	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
57a0bada74bc9721cc2f4406d3d82de9	80.0	141.0	151.0	143.0	92.0	144.0	135.0	197.0	103.0	151.0	135.0	165.0
82b1da2aa1e5b7c5a4c13ba4afab0ccf	0.0	8.0	9.0	5.0	0.0	0.0	0.0	11.0	7.0	7.0	13.0	13.0
3cd9ce63f826137d18ca1a11155a21ad	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0
72accd760c54e4e1a92055eb38a23d68	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	8.0	0.0	0.0
